id;titre;description;entreprise;localite;categorie;experience;exigences;benefice;date_de_postule;date_de_fin;urgent;remuneration;contrat
1;fonctionnaire;../fake-data/blob/hipster.txt;sous couleur de en vérité badaboum;toc-toc;collègue si bien que adepte;zzzz sédentaire;collaborer;gens liquider toc;2025-08-05;2025-08-05;false;30824;CDI
2;au cas où délégation;../fake-data/blob/hipster.txt;conformer paf autrefois;clientèle volontiers quand;chef de cuisine pff;cot cot;concernant;en dehors de orange hi;2025-08-05;2025-08-04;true;20757;CDI
3;bon autrefois;../fake-data/blob/hipster.txt;aux alentours de candide;cot cot;contre;revenir pencher;totalement aux environs de camarade;cocorico;2025-08-04;2025-08-04;true;10064;CDD
4;guère;../fake-data/blob/hipster.txt;même si;minuscule spécialiste;camper puisque oh;drelin vu que secouriste;serviable doucement;alors en face de meuh;2025-08-05;2025-08-05;true;20189;CDI
5;puisque sage;../fake-data/blob/hipster.txt;volontiers outre;aux alentours de;ah afficher athlète;aujourd'hui hôte depuis;paf;au défaut de toucher;2025-08-05;2025-08-04;true;4838;CDD
6;cocorico applaudir si bien que;../fake-data/blob/hipster.txt;de crainte que rose;cuicui monter;de peur que;parmi chier pin-pon;oups lâche;de façon que;2025-08-04;2025-08-04;true;2227;CDD
7;orienter construire;../fake-data/blob/hipster.txt;dériver;au lieu de;vroum;secouriste si;équipe de recherche tandis que;main-d’œuvre à l'égard de;2025-08-05;2025-08-05;false;14924;CDD
8;précisément électorat smack;../fake-data/blob/hipster.txt;puisque étrangler rectangulaire;pff;quoique adorable spécialiste;derrière bousculer;effacer novice;mal;2025-08-04;2025-08-04;false;27823;STAGE
9;cyan chef;../fake-data/blob/hipster.txt;miaou rêver;joliment ronron de manière à;smack;à l'insu de;guider un peu;oh miam;2025-08-04;2025-08-04;true;312;STAGE
10;toc vis-à-vie de;../fake-data/blob/hipster.txt;perplexe;au lieu de avant de membre titulaire;partenaire ha;collègue;ding;exprès;2025-08-04;2025-08-04;true;2665;CDD
