id;motivation_letter;cv_file_url;date_candidature
1;../fake-data/blob/hipster.txt;prout;2025-08-01T06:04:31
2;../fake-data/blob/hipster.txt;aussitôt que trop;2025-08-01T10:35:06
3;../fake-data/blob/hipster.txt;sale;2025-08-01T17:52:56
4;../fake-data/blob/hipster.txt;mince;2025-08-01T07:11:16
5;../fake-data/blob/hipster.txt;si bien que;2025-08-01T13:33:57
6;../fake-data/blob/hipster.txt;ouah;2025-08-01T20:00:32
7;../fake-data/blob/hipster.txt;contre euh assez;2025-08-01T09:30:10
8;../fake-data/blob/hipster.txt;commis de cuisine;2025-08-01T03:59:15
9;../fake-data/blob/hipster.txt;affable serviable;2025-08-01T18:05:35
10;../fake-data/blob/hipster.txt;collègue;2025-08-01T03:11:08
