id;title;company;location;type;salary;description;skills;experience_level;posted_date
1;à la merci;infime miam peut-être;charitable quand;CDI;au-dessous de multiple;../fake-data/blob/hipster.txt;attraper bon commis de cuisine;grandement clientèle proche de;2025-07-31T07:22:19
2;incognito;rédaction si;sans guère;CDD;réclamer;../fake-data/blob/hipster.txt;de façon à ce que;splendide distribuer juriste;2025-07-31T13:00:36
3;durant;tandis que circulaire;hypocrite à seule fin de;STAGE;dans la mesure où compenser;../fake-data/blob/hipster.txt;en dedans de personnel conserver;étant donné que;2025-07-31T14:45:14
4;dring brusque prout;gens descendre population du Québec;plaider bof personnel professionnel;CDD;moins mieux vu que;../fake-data/blob/hipster.txt;naguère sauf à;plic;2025-07-31T07:24:55
5;rectorat innombrable recourir;police;psitt;STAGE;chut sauf à trouver;../fake-data/blob/hipster.txt;hebdomadaire proche;enfin tic-tac du fait que;2025-07-31T08:58:11
6;adversaire proche;hirsute sincère;incognito super;CDD;fréquenter ouah corps enseignant;../fake-data/blob/hipster.txt;défiler vlan peu;visiter avex;2025-07-31T15:48:19
7;répartir à défaut de;diététiste lentement;sans que;CDI;ah maintenant très;../fake-data/blob/hipster.txt;malgré;débile foule absolument;2025-07-31T04:02:18
8;pauvre cuicui vu que;dès que sitôt que;trop;STAGE;suffisamment à l'égard de;../fake-data/blob/hipster.txt;adorable de façon que;minuscule vu que;2025-07-31T04:09:27
9;bang blême certainement;altruiste vu que concurrence;croître fonctionnaire améliorer;STAGE;à peu près pour que;../fake-data/blob/hipster.txt;propre engager vite;autour de vaste;2025-07-31T04:14:59
10;fleurir juriste;fourbe préoccuper membre titulaire;apte de peur que;STAGE;avant que auprès de pourvu que;../fake-data/blob/hipster.txt;étant donné que pourpre;toutefois puisque fonctionnaire;2025-07-31T09:55:36
